language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,page_num
agr,12,12,0.783,breast,breast (of woman),munc̷u,
hub,12,12,0.783,breast,seno,muntsu/muntsun,p208
jiv,12,12,0.783,breast,seno,muntsu/waa,p591
acu,12,12,0.783,breast,"pecho, teta, seno",múntsu,
acu,12,12,0.783,breast,pecho,netsép,
agr,13,13,0.782,rain,rain(noun),yumi,
hub,13,13,0.782,rain,lluvia,yumi/yumin,p182
jiv,13,13,0.782,rain,lluvia,yumi yutaa,p423
acu,13,13,0.782,rain,lluvia,júmi,
agr,14,14,0.776,1st-person singular pronoun (I/me),I,wi,
hub,14,14,0.776,1st-person singular pronoun (I/me),yo,wi,p221
jiv,14,14,0.776,1st-person singular pronoun (I/me),yo,wi,p674
acu,14,14,0.776,1st-person singular pronoun (I/me),yo,wíkia,
agr,15,15,0.774,name,name,daahi,
hub,15,15,0.774,name,nombre,naari/naarin,p190
jiv,15,15,0.774,name,nombre,naa,p480
acu,15,15,0.774,name,mi nombre,náar,no entry for nombre
agr,16,15,0.774,louse,louse,tɨma,
hub,16,15,0.774,louse,piojo,tema/teman,p198
jiv,16,15,0.774,louse,piojo,tema,p527
acu,16,15,0.774,louse,piojo,téma,
agr,17,17,0.773,wing,wing,nanapɨ,
hub,17,17,0.773,wing,ala,nanap/nanapen,p132
jiv,17,17,0.773,wing,ala,nánap,p43
acu,17,17,0.773,wing,ala,nanáp,
agr,18,18,0.771,flesh/meat,meat/flesh,nɨhɨ,
hub,18,18,0.771,flesh/meat,carne,namag/namagken,p145
jiv,18,18,0.771,flesh/meat,carne,namánk,p125
acu,18,18,0.771,flesh/meat,carne,namáng,
agr,19,19,0.768,arm/hand,hand,uwɨ-h,
agr,19,19,0.768,arm/hand,arm,kuntu,
hub,19,19,0.768,arm/hand,brazo,kuntu/kuntun,p141
hub,19,19,0.768,arm/hand,mano,uwej/uwejan,p184
jiv,19,19,0.768,arm/hand,brazo,kuntu,p106
jiv,19,19,0.768,arm/hand,mano,ewej/uwej,p434
acu,19,19,0.768,arm/hand,mano,uwéj,no entry for brazo
agr,20,20,0.766,fly (vb),fly,nana-mat,
agr,20,20,0.766,fly (noun),fly,kaap,
hub,20,20,0.766,fly,mosca,yantsakap/yantsakapin,p187
jiv,20,20,0.766,fly,mosca,kaap,p464
acu,20,20,0.766,fly,volar,nanámtin,no entry for mosca
agr,21,20,0.766,night,night,kaši,
hub,21,20,0.766,night,noche,suwe/suwen,p189
hub,21,20,0.766,night,noche,kashi,p189
jiv,21,20,0.766,night,noche,kashi,p479
acu,21,20,0.766,night,noche,káshi,
agr,22,22,0.764,ear,ear,kuwiš,
hub,22,22,0.764,ear,oreja,kuish/kuishin,p191
jiv,22,22,0.764,ear,oreja,kuish,p496
acu,22,22,0.764,ear,oreja,kuwísh,
agr,23,23,0.76,neck,neck,suwɨ,
hub,23,23,0.76,neck,cuello,yasuch/yasuchin,p153
hub,23,23,0.76,neck,cuello,kuntej/kuntejan,p153
jiv,23,23,0.76,neck,cuello,kuntuj,p176
acu,23,23,0.76,neck,cuello,kuntúj,
agr,24,24,0.76,far,far (adv),a'tušat,
hub,24,24,0.76,far,lejos,ika,p179
hub,24,24,0.76,far,lejos,imi,p179
hub,24,24,0.76,far,lejos,jeashat,p179
hub,24,24,0.76,far,lejos,yaja,p179
